constituency_id,constituency_no,constituency_name,state_id,phase_id
1,1,Andaman & Nicobar Islands,1,1
2,1,Araku (ST),2,4
3,2,Srikakulam,2,4
4,3,Vizianagaram,2,4
5,4,Visakhapatnam,2,4
6,5,Anakapalle,2,4
7,6,Kakinada,2,4
8,7,Amalapuram (SC),2,4
9,8,Rajahmundry,2,4
10,9,Narsapuram,2,4
11,10,Eluru,2,4
12,11,Machilipatnam,2,4
13,12,Vijayawada,2,4
14,13,Guntur,2,4
15,14,Narsaraopet,2,4
16,15,Bapatla (SC),2,4
17,16,Ongole,2,4
18,17,Nandyal,2,4
19,18,Kurnoolu,2,4
20,19,Ananthapur,2,4
21,20,Hindupur,2,4
22,21,Kadapa,2,4
23,22,Nellore,2,4
24,23,Thirupathi(SC),2,4
25,24,Rajampet,2,4
26,25,Chittoor(SC),2,4
27,1,Arunachal West,3,1
28,2,Arunachal East,3,1
29,1,Kokrajhar,4,3
30,2,Dhubri,4,3
31,3,Barpeta,4,3
32,4,Darrang-Udalguri,4,2
33,5,Guwahati,4,3
34,6,Diphu,4,2
35,7,Karimganj,4,2
36,8,Silchar,4,2
37,9,Nagaon,4,2
38,10,Kaziranga,4,1
39,11,Sonitpur,4,1
40,12,Lakhimpur,4,1
41,13,Dibrugarh,4,1
42,14,Jorhat,4,1
43,1,Valmiki Nagar,5,6
44,2,Paschim Champaran,5,6
45,3,Purvi Champaran,5,6
46,4,Sheohar,5,6
47,5,Sitamarhi,5,5
48,6,Madhubani,5,5
49,7,Jhanjharpur,5,3
50,8,Supaul,5,3
51,9,Araria,5,3
52,10,Kishanganj,5,2
53,11,Katihar,5,2
54,12,Purnia,5,2
55,13,Madhepura,5,3
56,14,Darbhanga,5,4
57,15,Muzaffarpur,5,5
58,16,Vaishali,5,6
59,17,Gopalganj,5,6
60,18,Siwan,5,6
61,19,Maharajganj,5,6
62,20,Saran,5,5
63,21,Hajipur,5,5
64,22,Ujiarpur,5,4
65,23,Samastipur,5,4
66,24,Begusarai,5,4
67,25,Khagaria,5,3
68,26,Bhagalpur,5,2
69,27,Banka,5,2
70,28,Munger,5,4
71,29,Nalanda,5,7
72,30,Patna Sahib,5,7
73,31,Patliputra,5,7
74,32,Arrah,5,7
75,33,Buxar,5,7
76,34,Sasaram,5,7
77,35,Karakat,5,7
78,36,Jahanabad,5,7
79,37,Aurangabad,5,1
80,38,Gaya,5,1
81,39,Nawada,5,1
82,40,Jamui,5,1
83,1,Chandigarh,6,7
84,1,SURGUJA,7,3
85,2,RAIGARH,7,3
86,3,JANJGIR-CHAMPA,7,3
87,4,KORBA,7,3
88,5,BILASPUR,7,3
89,6,RAJNANDGAON,7,2
90,7,DURG,7,3
91,8,RAIPUR,7,3
92,9,MAHASAMUND,7,2
93,10,BASTAR,7,1
94,11,KANKER,7,2
95,1,Daman & Diu,8,3
96,2,Dadar & Nagar Haveli,8,3
97,1,North Goa,9,3
98,2,South Goa,9,3
99,1,Kachchh,10,3
100,2,Banaskantha,10,3
101,3,Patan,10,3
102,4,Mahesana,10,3
103,5,Sabarkantha,10,3
104,6,Gandhinagar,10,3
105,7,Ahmedabad East,10,3
106,8,Ahmedabad West,10,3
107,9,Surendranagar,10,3
108,10,Rajkot,10,3
109,11,Porbandar,10,3
110,12,Jamnagar,10,3
111,13,Junagadh,10,3
112,14,Amreli,10,3
113,15,Bhavnagar,10,3
114,16,Anand,10,3
115,17,Kheda,10,3
116,18,Panchmahal,10,3
117,19,Dahod,10,3
118,20,Vadodara,10,3
119,21,Chhota Udaipur,10,3
120,22,Bharuch,10,3
121,23,Bardoli,10,3
122,24,Surat,10,3
123,25,Navsari,10,3
124,26,Valsad,10,3
125,1,AMBALA,11,6
126,2,KURUKSHETRA,11,6
127,3,SIRSA,11,6
128,4,HISAR,11,6
129,5,KARNAL,11,6
130,6,SONIPAT,11,6
131,7,ROHTAK,11,6
132,8,BHIWANI-MAHENDRAGARH,11,6
133,9,GURGAON,11,6
134,10,FARIDABAD,11,6
135,1,KANGRA,12,7
136,2,MANDI,12,7
137,3,HAMIRPUR,12,7
138,4,SHIMLA,12,7
139,1,BARAMULLA,13,5
140,2,SRINAGAR,13,4
141,3,ANANTNAG-RAJOURI,13,3
142,4,UDHAMPUR,13,1
143,5,JAMMU,13,2
144,1,Rajmahal,14,7
145,2,Dumka,14,7
146,3,Godda,14,7
147,4,Chatra,14,5
148,5,Kodarma,14,5
149,6,Giridih,14,6
150,7,Dhanbad,14,6
151,8,Ranchi,14,6
152,9,Jamshedpur,14,6
153,10,Singhbhum,14,4
154,11,Khunti,14,4
155,12,Lohardaga,14,4
156,13,Palamau,14,4
157,14,Hazaribagh,14,5
158,1,Chikkodi,15,3
159,2,Belgaum,15,3
160,3,Bagalkot,15,3
161,4,Bijapur,15,3
162,5,Gulbarga,15,3
163,6,Raichur,15,3
164,7,Bidar,15,3
165,8,Koppal,15,3
166,9,Bellary,15,3
167,10,Haveri,15,3
168,11,Dharwad,15,3
169,12,Uttara Kannada,15,3
170,13,Davanagere,15,3
171,14,Shimoga,15,3
172,15,Udupi Chikmagalur,15,2
173,16,Hassan,15,2
174,17,Dakshina Kannada,15,2
175,18,Chitradurga,15,2
176,19,Tumkur,15,2
177,20,Mandya,15,2
178,21,Mysore,15,2
179,22,Chamarajanagar,15,2
180,23,Bangalore Rural,15,2
181,24,Bangalore North,15,2
182,25,Bangalore central,15,2
183,26,Bangalore South,15,2
184,27,Chikkballapur,15,2
185,28,Kolar,15,2
186,1,Kasaragod,16,1
187,2,Kannur,16,1
188,3,Vadakara,16,1
189,4,Wayanad,16,1
190,5,Kozhikode,16,1
191,6,Malappuram,16,1
192,7,Ponnani,16,1
193,8,Palakkad,16,1
194,9,Alathur,16,1
195,10,Thrissur,16,1
196,11,Chalakudy,16,1
197,12,Ernakulam,16,1
198,13,Idukki,16,1
199,14,Kottayam,16,1
200,15,Alappuzha,16,1
201,16,Mavelikkara,16,1
202,17,Pathanamthitta,16,1
203,18,Kollam,16,1
204,19,Attingal,16,1
205,20,Thiruvananthapuram,16,1
206,1,Ladakh,17,5
207,1,Lakshadweep,18,1
208,1,MORENA,19,3
209,2,BHIND,19,3
210,3,GWALIOR,19,3
211,4,GUNA,19,3
212,5,SAGAR,19,3
213,6,TIKAMGARH,19,2
214,7,DAMOH,19,2
215,8,KHAJURAHO,19,2
216,9,SATNA,19,2
217,10,REWA,19,2
218,11,SIDHI,19,1
219,12,SHAHDOL,19,1
220,13,JABALPUR,19,1
221,14,MANDLA,19,1
222,15,BALAGHAT,19,1
223,16,CHHINDWARA,19,1
224,17,HOSHANGABAD,19,2
225,18,VIDISHA,19,3
226,19,BHOPAL,19,3
227,20,RAJGARH,19,3
228,21,DEWAS,19,4
229,22,UJJAIN,19,4
230,23,MANDSOUR,19,4
231,24,RATLAM,19,4
232,25,DHAR,19,4
233,26,INDORE,19,4
234,27,KHARGONE,19,4
235,28,KHANDWA,19,4
236,29,BETUL,19,2
237,1,Nandurbar,20,4
238,2,Dhule,20,5
239,3,Jalgaon,20,4
240,4,Raver,20,4
241,5,Buldhana,20,2
242,6,Akola,20,2
243,7,Amravati,20,2
244,8,Wardha,20,2
245,9,Ramtek,20,1
246,10,Nagpur,20,1
247,11,Bhandara Gondiya,20,1
248,12,Gadchiroli - Chimur,20,1
249,13,Chandrapur,20,1
250,14,Yavatmal- Washim,20,2
251,15,Hingoli,20,2
252,16,Nanded,20,2
253,17,Parbhani,20,2
254,18,Jalna,20,4
255,19,Aurangabad,20,1
256,20,Dindori,20,5
257,21,Nashik,20,5
258,22,Palghar,20,5
259,23,Bhiwandi,20,5
260,24,Kalyan,20,5
261,25,Thane,20,5
262,26,Mumbai North,20,5
263,27,Mumbai North West,20,5
264,28,Mumbai North East,20,5
265,29,Mumbai North Central,20,5
266,30,Mumbai South Central,20,5
267,31,Mumbai South,20,5
268,32,Raigad,20,3
269,33,Maval,20,4
270,34,Pune,20,4
271,35,Baramati,20,3
272,36,Shirur,20,4
273,37,Ahmednagar,20,4
274,38,Shirdi,20,4
275,39,Beed,20,4
276,40,Osmanabad,20,3
277,41,Latur,20,3
278,42,Solapur,20,3
279,43,Madha,20,3
280,44,Sangli,20,3
281,45,Satara,20,3
282,46,Ratnagiri- Sindhudurg,20,3
283,47,Kolhapur,20,3
284,48,Hatkanangale,20,3
285,1,Inner Manipur,21,1
286,2,Outer Manipur,21,1
287,1,Shillong,22,1
288,2,Tura,22,1
289,1,MIZORAM,23,1
290,1,Chandni Chowk,24,6
291,2,North-East Delhi,24,6
292,3,East Delhi,24,6
293,4,New Delhi,24,6
294,5,North-West Delhi,24,6
295,6,West Delhi,24,6
296,7,South Delhi,24,6
297,1,Nagaland,25,1
298,1,Bargarh,26,5
299,2,Sundargarh,26,5
300,3,Sambalpur,26,6
301,4,Keonjhar,26,6
302,5,Mayurbhanj,26,7
303,6,Balasore,26,7
304,7,Bhadrak,26,7
305,8,Jajpur,26,7
306,9,Dhenkanal,26,6
307,10,Bolangir,26,5
308,11,Kalahandi,26,4
309,12,Nabarangpur,26,4
310,13,Kandhamal,26,5
