party_id,party_name,alliance_name,alliance_id
1,AARAKSHAN VIRODHI PARTY,Others,3
2,AJSU Party,NDA,1
3,Aadarsh Mithila Party,Others,3
4,Aadarsh Sangram Party,Others,3
5,Aadi Bharat Party,Others,3
6,Aadim Samaj Party,Others,3
7,Aam Aadmi Parivartan Party,Others,3
8,Aam Aadmi Party,INDIA,2
9,"Aam Janmat Party,",Others,3
10,Aam Janshakti Party,Others,3
11,Aam Janta Party (India),Others,3
12,Aam Janta Party Rashtriya,Others,3
13,Aam Lok Party United,Others,3
14,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Others,3
15,Aap Sabki Apni Party,Others,3
16,Aapka Gantantra Party,Others,3
17,Aapki Apni Party (Peoples),Others,3
18,Aapki Awaaz Party,Others,3
19,Aas Punjab Party,Others,3
20,Aawami Pichhada Party,Others,3
21,Aazad Samaj Party (Kanshi Ram),Others,3
22,Abhay Samaj Party,Others,3
23,Abhinav Bharat Janseva Paksh,Others,3
24,Abhinav Rajasthan Party,Others,3
25,Abua Jharkhand Party,Others,3
26,Adarsh Jankalyan Dal,Others,3
27,"Adarsh Janta Party,",Others,3
28,Adarsh Nyay Rakshak Party,Others,3
29,Adarsh Samaj Party,Others,3
30,Adarshwaadi Congress Party,Others,3
31,Adim Bhartiya Dal,Others,3
32,Ahimsa Socialist Party,Others,3
33,Ahinsa Samaj Party,Others,3
34,Aihra National Party,Others,3
35,Aim Political Party,Others,3
36,Akhand Bharat Janpriya Party,Others,3
37,Akhand Bharat Samrajya Party,Others,3
38,Akhand Bharat Swatantra Party,Others,3
39,Akhil Bharat Hindu Mahasabha,Others,3
40,Akhil Bharatiya Congress Dal (Ambedkar),Others,3
41,Akhil Bharatiya Hind Kranti Party,Others,3
42,Akhil Bharatiya Manavata Paksha,Others,3
43,Akhil Bharatiya Muslim League (Secular),Others,3
44,Akhil Bhartiya Aamjan Party,Others,3
45,Akhil Bhartiya Aarakshit Samaj Party,Others,3
46,Akhil Bhartiya Apna Dal,Others,3
47,Akhil Bhartiya Hamara Samaj Party,Others,3
48,Akhil Bhartiya Kisan Majdoor Party,Others,3
49,Akhil Bhartiya Manavadhikar Vichar Manch Party,Others,3
50,Akhil Bhartiya Parivar Party,Others,3
51,Akhil Bhartiya Sarvjan Hit Party,Others,3
52,Akhil Bhartiya Sudhar Party,Others,3
53,Akhil Hind Forward Bloc (Krantikari),Others,3
54,Akhila Vijaya Party,Others,3
55,Al-Hind Party,Others,3
56,All India Anna Dravida Munnetra Kazhagam,NDA,1
57,All India Arya Mahasabha,Others,3
58,All India Backward People Sunami Party,Others,3
59,All India Forward Bloc,Others,3
60,All India Jaihind Party,Others,3
61,All India Jananayaka Makkal Kazhagam,Others,3
62,All India Kisan Janatha party,Others,3
63,All India Mahila Empowerment Party,Others,3
64,All India Majlis-E-Inquilab-E-Millat,Others,3
65,All India Majlis-E-Ittehadul Muslimeen,Others,3
66,All India Mazdoor Party (Rangreta),Others,3
67,All India National Raksha Sena,Others,3
68,All India People Development Party,Others,3
69,All India Secular Front,Others,3
70,All India Trinamool Congress,INDIA,2
71,All India Ulama Congress,Others,3
72,All India United Democratic Front,Others,3
73,All India Uzhavargal Uzhaippalargal Katchi,Others,3
74,All India Youth Development Party,Others,3
75,All Peoples Party,Others,3
76,Alliance of Democratic Reforms Party,Others,3
77,Aman Samaj Party,Others,3
78,Ambedkar National Congress,Others,3
79,Ambedkarist Republican Party,Others,3
80,Ambedkarite Party of India,Others,3
81,Amma Makkal Munnettra Kazagam,NDA,1
82,Amra Bangalee,Others,3
83,Anaithu India Makkal Katchi,Others,3
84,Andaman Nicobar Democratic Congress,Others,3
85,Andhra Pradesh Rashtra Samithi,Others,3
86,Andhra Rastra Praja Samithi,Others,3
