result_id,candidate_serial_no,candidate_name,party_id,constituency_id,evm_votes,postal_votes,total_votes,vote_share
1,1,GUMMA THANUJA RANI,745,2,471470,5535,477005,40.96
2,2,KOTHAPALLI GEETHA,159,2,417113,9312,426425,36.62
3,3,APPALANARASA PACHIPENTA,228,2,119016,4113,123129,10.57
4,4,AVASHYA LAHARI . VARAM,122,2,24858,892,25750,2.21
5,5,SAMAREDDY BALAKRISHNA,283,2,9493,42,9535,0.82
6,6,NIMMAKA JAYARAJU,283,2,8798,664,9462,0.81
7,7,ATHIDHI,283,2,8121,15,8136,0.7
8,8,CHANTI BADNAINA,303,2,7205,47,7252,0.62
9,9,MOTTADAM . RAJABABU,132,2,6370,396,6766,0.58
10,10,RANJITH KUMAR PALAKA,283,2,6000,47,6047,0.52
11,11,RAMBABU JALLI,701,2,4933,26,4959,0.43
12,12,MANDALA GIRIDHARA RAO,283,2,4931,36,4967,0.43
13,13,VUYAKA NIREEKSHAN  (V. CHENCHU),286,2,4500,42,4542,0.39
14,14,NOTA,472,2,50205,265,50470,4.33
15,1,KINJARAPU RAMMOHAN NAIDU,699,3,734501,19827,754328,61.05
16,2,TILAK PERADA,745,3,420394,6033,426427,34.51
17,3,PEDADA PARAMESWARA RAO,290,3,6724,448,7172,0.58
18,4,SANAPALA SRAVAN KUMAR,283,3,5950,8,5958,0.48
19,5,NAIDUGARI RAJASEKHAR,122,3,4661,81,4742,0.38
20,6,VABA YOGESWARA RAO,283,3,3472,126,3598,0.29
21,7,BETHA VIVEKANANDA MAHARAJ,283,3,2523,13,2536,0.21
22,8,YEDDU LAKSHMINARAYANA,283,3,1598,7,1605,0.13
23,9,BORUBADRA CHANDRAKALA,145,3,1315,42,1357,0.11
24,10,IPPILI SEETHARAJU,303,3,1080,50,1130,0.09
25,11,KAYA DURGARAO,460,3,811,7,818,0.07
26,12,CHELLURI DANIYAL,283,3,796,20,816,0.07
27,13,BOMMALI TIRUPATI RAO,514,3,589,5,594,0.05
28,14,NOTA,472,3,24498,107,24605,1.99
29,1,APPALANAIDU KALISETTI,699,4,729284,13829,743113,57.2
30,2,BELLANA CHANDRASEKHAR,745,4,487691,6071,493762,38
31,3,BOBBILI SRINU,290,4,10270,353,10623,0.82
32,4,PEERUBANDI PRAKASH RAO,122,4,7985,53,8038,0.62
33,5,VELURI VENKATA TRINADHARAO,283,4,4146,6,4152,0.32
34,6,ALLU SRIRAMULU,283,4,3396,5,3401,0.26
35,7,SIYYADULA YELLA RAO,283,4,3105,2,3107,0.24
36,8,SRINIVASA RAO SAMBHANA,740,4,1758,3,1761,0.14
37,9,MARISERLA KRISHNAMURTHY NAIDU,283,4,1617,12,1629,0.13
38,10,VANGAPANDU MAHESWARA RAO,437,4,1544,9,1553,0.12
39,11,CHINNAM ARUNA KUMAR,313,4,1401,10,1411,0.11
40,12,ATCHIYYA NAIDU SAMIREDDY,618,4,1059,11,1070,0.08
41,13,ADINARAYANA TADDI,283,4,855,1,856,0.07
42,14,P V A ANANDA SAGAR,283,4,787,4,791,0.06
43,15,SAKHINETI ANANTHA RAJU,514,4,715,10,725,0.06
