alliance_name,constituency_id,constituency_name,Candidate,Party,State,Total Independent Candidates,Total Votes (Cr),Sum of total_votes,Vote % of India,Sum of vote_share
INDIA,19,Maharajganj,AAKASH KUMAR SINGH,Indian National Congress,Bihar,,0.04 Cr,426882,1,42.09
INDIA,15,Hingoli,AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,,0.05 Cr,492535,1,42.49
INDIA,24,Begusarai,ABDHESH KUMAR ROY,Communist Party of India,Bihar,,0.06 Cr,567851,1,43.86
INDIA,6,Akola,ABHAY KASHINATH PATIL,Indian National Congress,Maharashtra,,0.04 Cr,416404,1,35.5
INDIA,37,Aurangabad,ABHAY KUMAR SINHA,Rashtriya Janata Dal,Bihar,,0.05 Cr,465567,1,49.22
INDIA,21,Diamond harbour,ABHISHEK BANERJEE,All India Trinamool Congress,West Bengal,,0.10 Cr,1048230,1,68.48
INDIA,11,Murshidabad,ABU TAHER KHAN,All India Trinamool Congress,West Bengal,,0.07 Cr,682442,1,44.27
INDIA,3,Barpeta,ABUL KALAM AZAD,All India Trinamool Congress,Assam,,0.00 Cr,16432,1,0.97
INDIA,32,Ghatal,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,West Bengal,,0.08 Cr,837990,1,52.36
INDIA,10,Baharampur,ADHIR RANJAN CHOWDHURY,Indian National Congress,West Bengal,,0.04 Cr,439494,1,31.74
INDIA,23,Badaun,ADITYA YADAV,Samajwadi Party,Uttar Pradesh,,0.05 Cr,501855,1,45.97
INDIA,19,Attingal,ADV ADOOR PRAKASH,Indian National Congress,Kerala,,0.03 Cr,328051,1,33.29
INDIA,16,Mavelikkara,ADV ARUN KUMAR C A,Communist Party of India,Kerala,,0.04 Cr,358648,1,40.07
INDIA,1,Nandurbar,ADV GOWAAL KAGADA PADAVI,Indian National Congress,Maharashtra,,0.07 Cr,745998,1,53.53
INDIA,14,Kottayam,ADV K FRANCIS GEORGE,Kerala Congress,Kerala,,0.04 Cr,364631,1,43.6
INDIA,10,Thrissur,ADV V S SUNILKUMAR,Communist Party of India,Kerala,,0.03 Cr,337652,1,30.95
INDIA,13,Idukki,ADV. DEAN KURIAKOSE,Indian National Congress,Kerala,,0.04 Cr,432372,1,51.43
INDIA,36,Shirur,ADV. DR. LAXMAN RAMBHAU DAMSE,Bharat Adivasi Party,Maharashtra,,0.00 Cr,4136,1,0.3
INDIA,19,BHOPAL,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,Madhya Pradesh,,0.05 Cr,479610,1,32.01
INDIA,12,Jamnagar,ADVOCATE J. P. MARAVIYA,Indian National Congress,Gujarat,,0.04 Cr,382041,1,36.34
INDIA,75,Ghazipur,AFZAL ANSARI,Samajwadi Party,Uttar Pradesh,,0.05 Cr,539912,1,46.82
INDIA,2,SRINAGAR,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,Jammu and Kashmir,,0.04 Cr,356866,1,52.85
INDIA,15,Muzaffarpur,AJAY NISHAD,Indian National Congress,Bihar,,0.04 Cr,384822,1,34.59
INDIA,65,Kushi Nagar,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,Uttar Pradesh,,0.04 Cr,434555,1,40.22
INDIA,77,Varanasi,AJAY RAI,Indian National Congress,Uttar Pradesh,,0.05 Cr,460457,1,40.74
INDIA,26,Bhagalpur,AJEET SHARMA,Indian National Congress,Bihar,,0.04 Cr,431163,1,40.52
