alliance_name,winner_party
INDIA,Aam Aadmi Party
INDIA,All India Trinamool Congress
INDIA,Bharat Adivasi Party
INDIA,Communist Party of India
INDIA,Communist Party of India  (Marxist)
INDIA,Communist Party of India  (Marxist-Leninist)  (Liberation)
INDIA,Dravida Munnetra Kazhagam
INDIA,Indian National Congress
INDIA,Indian Union Muslim League
INDIA,Jammu & Kashmir National Conference
INDIA,Jharkhand Mukti Morcha
INDIA,Kerala Congress
INDIA,Marumalarchi Dravida Munnetra Kazhagam
INDIA,Nationalist Congress Party – Sharadchandra Pawar
INDIA,Rashtriya Janata Dal
INDIA,Rashtriya Loktantrik Party
INDIA,Revolutionary Socialist Party
INDIA,Samajwadi Party
INDIA,Shiv Sena (Uddhav Balasaheb Thackrey)
INDIA,Viduthalai Chiruthaigal Katchi
NDA,AJSU Party
NDA,Apna Dal (Soneylal)
NDA,Asom Gana Parishad
NDA,Bharatiya Janata Party
NDA,Hindustani Awam Morcha (Secular)
NDA,Janasena Party
NDA,Janata Dal  (Secular)
NDA,Janata Dal  (United)
NDA,Lok Janshakti Party(Ram Vilas)
NDA,Nationalist Congress Party
NDA,Rashtriya Lok Dal
NDA,Shiv Sena
NDA,Sikkim Krantikari Morcha
NDA,Telugu Desam
NDA,"United People’s Party, Liberal"
Others,Aazad Samaj Party (Kanshi Ram)
Others,All India Majlis-E-Ittehadul Muslimeen
Others,Independent
Others,Shiromani Akali Dal
Others,Voice of the People Party
Others,Yuvajana Sramika Rythu Congress Party
Others,Zoram People’s Movement
