state_id,region_id,state_name,region_name,alliance_name,alliance_votes,state_total_votes,alliance_vote_share,state_vote_share
1,5,Andaman & Nicobar Islands,Southern Region,INDIA,84057.0,202514.0,41.51,0.03
1,5,Andaman & Nicobar Islands,Southern Region,NDA,103350.0,202514.0,51.03,0.03
1,5,Andaman & Nicobar Islands,Southern Region,Others,15107.0,202514.0,7.46,0.03
2,5,Andhra Pradesh,Southern Region,INDIA,1065653.0,33729342.0,3.16,5.23
2,5,Andhra Pradesh,Southern Region,NDA,18038560.0,33729342.0,53.48,5.23
2,5,Andhra Pradesh,Southern Region,Others,14625129.0,33729342.0,43.36,5.23
3,6,Arunachal Pradesh,North Eastern Region,INDIA,219839.0,723247.0,30.4,0.11
3,6,Arunachal Pradesh,North Eastern Region,NDA,350998.0,723247.0,48.53,0.11
3,6,Arunachal Pradesh,North Eastern Region,Others,152410.0,723247.0,21.07,0.11
4,6,Assam,North Eastern Region,INDIA,7871685.0,20059870.0,39.24,3.11
4,6,Assam,North Eastern Region,NDA,10088693.0,20059870.0,50.29,3.11
4,6,Assam,North Eastern Region,Others,2099492.0,20059870.0,10.47,3.11
5,3,Bihar,Eastern Region,INDIA,15868120.0,43448949.0,36.52,6.73
5,3,Bihar,Eastern Region,NDA,20513015.0,43448949.0,47.21,6.73
5,3,Bihar,Eastern Region,Others,7067814.0,43448949.0,16.27,6.73
6,1,Chandigarh,Northern Region,INDIA,216657.0,449275.0,48.22,0.07
6,1,Chandigarh,Northern Region,NDA,214153.0,449275.0,47.67,0.07
6,1,Chandigarh,Northern Region,Others,18465.0,449275.0,4.11,0.07
7,2,Chhattisgarh,Central Region,INDIA,6222048.0,15061348.0,41.31,2.33
7,2,Chhattisgarh,Central Region,NDA,7930096.0,15061348.0,52.65,2.33
7,2,Chhattisgarh,Central Region,Others,909204.0,15061348.0,6.04,2.33
8,4,Dadra & Nagar Haveli and Daman & Diu,Western Region,INDIA,84945.0,297998.0,28.51,0.05
8,4,Dadra & Nagar Haveli and Daman & Diu,Western Region,NDA,157372.0,297998.0,52.81,0.05
8,4,Dadra & Nagar Haveli and Daman & Diu,Western Region,Others,55681.0,297998.0,18.69,0.05
9,4,Goa,Western Region,INDIA,359147.0,906538.0,39.62,0.14
9,4,Goa,Western Region,NDA,461627.0,906538.0,50.92,0.14
9,4,Goa,Western Region,Others,85764.0,906538.0,9.46,0.14
10,4,Gujarat,Western Region,INDIA,9908392.0,29115599.0,34.03,4.51
10,4,Gujarat,Western Region,NDA,17989950.0,29115599.0,61.79,4.51
10,4,Gujarat,Western Region,Others,1217257.0,29115599.0,4.18,4.51
11,1,Haryana,Northern Region,INDIA,6245243.0,13055572.0,47.84,2.02
