state_id,region_id,constituency_id,state_name,region_name,constituency_no,constituency_name,election_phase,polling_date,winner_candidate,winner_party,alliance_name,runner_up_candidate,runner_up_party,evm_votes,postal_votes,winner_votes,constituency_total_votes,vote_share,margin_votes,result_status,winner_age,winner_gender
1,5,1,Andaman & Nicobar Islands,Southern Region,1,Andaman & Nicobar Islands,1,2024-04-19,BISHNU PADA RAY,Bharatiya Janata Party,NDA,KULDEEP RAI SHARMA,Indian National Congress,102182,254,102436,202514.0,50.58,24396,Result Declared,73.0,male
2,5,2,Andhra Pradesh,Southern Region,1,Araku (ST),4,2024-05-13,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,Others,KOTHAPALLI GEETHA,Bharatiya Janata Party,471470,5535,477005,1164445.0,40.96,50580,Result Declared,31.0,female
2,5,3,Andhra Pradesh,Southern Region,2,Srikakulam,4,2024-05-13,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,NDA,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,734501,19827,754328,1235686.0,61.05,327901,Result Declared,36.0,male
2,5,4,Andhra Pradesh,Southern Region,3,Vizianagaram,4,2024-05-13,APPALANAIDU KALISETTI,Telugu Desam,NDA,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,729284,13829,743113,1299242.0,57.2,249351,Result Declared,50.0,male
2,5,5,Andhra Pradesh,Southern Region,4,Visakhapatnam,4,2024-05-13,SRIBHARAT MATHUKUMILI,Telugu Desam,NDA,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,893884,13583,907467,1387125.0,65.42,504247,Result Declared,35.0,male
2,5,6,Andhra Pradesh,Southern Region,5,Anakapalle,4,2024-05-13,C.M.RAMESH,Bharatiya Janata Party,NDA,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,750027,12042,762069,1325332.0,57.5,296530,Result Declared,58.0,male
2,5,7,Andhra Pradesh,Southern Region,6,Kakinada,4,2024-05-13,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party,NDA,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,718971,10728,729699,1329803.0,54.87,229491,Result Declared,38.0,male
2,5,8,Andhra Pradesh,Southern Region,7,Amalapuram (SC),4,2024-05-13,G M HARISH (BALAYOGI),Telugu Desam,NDA,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,786149,10832,796981,1301106.0,61.25,342196,Result Declared,33.0,male
2,5,9,Andhra Pradesh,Southern Region,8,Rajahmundry,4,2024-05-13,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,NDA,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,718641,7874,726515,1325297.0,54.82,239139,Result Declared,67.0,female
2,5,10,Andhra Pradesh,Southern Region,9,Narsapuram,4,2024-05-13,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,NDA,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,699382,7961,707343,1230994.0,57.46,276802,Result Declared,56.0,male
2,5,11,Andhra Pradesh,Southern Region,10,Eluru,4,2024-05-13,PUTTA MAHESH KUMAR,Telugu Desam,NDA,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,737644,8707,746351,1382049.0,54.0,181857,Result Declared,39.0,male
2,5,12,Andhra Pradesh,Southern Region,11,Machilipatnam,4,2024-05-13,BALASHOWRY VALLABHANENI,Janasena Party,NDA,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,712149,12290,724439,1312004.0,55.22,223179,Result Declared,55.0,male
2,5,13,Andhra Pradesh,Southern Region,12,Vijayawada,4,2024-05-13,KESINENI SIVANATH (CHINNI),Telugu Desam,NDA,KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party,784722,9432,794154,1364405.0,58.21,282085,Result Declared,55.0,male
2,5,14,Andhra Pradesh,Southern Region,13,Guntur,4,2024-05-13,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,NDA,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,851020,13928,864948,1425371.0,60.68,344695,Result Declared,48.0,male
2,5,15,Andhra Pradesh,Southern Region,14,Narsaraopet,4,2024-05-13,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,NDA,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,798097,9899,807996,1499569.0,53.88,159729,Result Declared,41.0,male
2,5,16,Andhra Pradesh,Southern Region,15,Bapatla (SC),4,2024-05-13,KRISHNA PRASAD TENNETI,Telugu Desam,NDA,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,706757,10736,717493,1300745.0,55.16,208031,Result Declared,64.0,male
2,5,17,Andhra Pradesh,Southern Region,16,Ongole,4,2024-05-13,MAGUNTA SREENIVASULU REDDY,Telugu Desam,NDA,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,689829,12065,701894,1422214.0,49.35,50199,Result Declared,70.0,male
2,5,18,Andhra Pradesh,Southern Region,17,Nandyal,4,2024-05-13,DR BYREDDY SHABARI,Telugu Desam,NDA,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,689417,11714,701131,1404418.0,49.92,111975,Result Declared,40.0,female
2,5,19,Andhra Pradesh,Southern Region,18,Kurnoolu,4,2024-05-13,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,NDA,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,650335,8579,658914,1330780.0,49.51,111298,Result Declared,45.0,male
2,5,20,Andhra Pradesh,Southern Region,19,Ananthapur,4,2024-05-13,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,NDA,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,755862,12383,768245,1440428.0,53.33,188555,Result Declared,60.0,male
2,5,21,Andhra Pradesh,Southern Region,20,Hindupur,4,2024-05-13,B K PARTHASARATHI,Telugu Desam,NDA,J SHANTHA,Yuvajana Sramika Rythu Congress Party,713013,12521,725534,1416339.0,51.23,132427,Result Declared,64.0,male
2,5,22,Andhra Pradesh,Southern Region,21,Kadapa,4,2024-05-13,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,Others,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,598406,6737,605143,1321975.0,45.78,62695,Result Declared,39.0,male
2,5,23,Andhra Pradesh,Southern Region,22,Nellore,4,2024-05-13,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,NDA,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,750771,15431,766202,1375649.0,55.7,245902,Result Declared,68.0,male
2,5,24,Andhra Pradesh,Southern Region,23,Thirupathi(SC),4,2024-05-13,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,Others,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,626702,5526,632228,1382570.0,45.73,14569,Result Declared,38.0,male
2,5,25,Andhra Pradesh,Southern Region,24,Rajampet,4,2024-05-13,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,Others,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,639111,5733,644844,1332939.0,48.38,76071,Result Declared,48.0,male
2,5,26,Andhra Pradesh,Southern Region,25,Chittoor(SC),4,2024-05-13,DAGGUMALLA PRASADA RAO,Telugu Desam,NDA,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,765536,12535,778071,1418857.0,54.84,220479,Result Declared,62.0,male
3,6,27,Arunachal Pradesh,North Eastern Region,1,Arunachal West,1,2024-04-19,KIREN RIJIJU,Bharatiya Janata Party,NDA,NABAM TUKI,Indian National Congress,196415,9002,205417,399804.0,51.38,100738,Result Declared,53.0,male
3,6,28,Arunachal Pradesh,North Eastern Region,2,Arunachal East,1,2024-04-19,TAPIR GAO,Bharatiya Janata Party,NDA,BOSIRAM SIRAM,Indian National Congress,140715,4866,145581,323443.0,45.01,30421,Result Declared,59.0,male
4,6,29,Assam,North Eastern Region,1,Kokrajhar,3,2024-05-07,JOYANTA BASUMATARY,"United People’s Party, Liberal",NDA,KAMPA BORGOYARI,Bodoland Peoples Front,484681,4314,488995,1241496.0,39.39,51583,Result Declared,48.0,male
4,6,30,Assam,North Eastern Region,2,Dhubri,3,2024-05-07,RAKIBUL HUSSAIN,Indian National Congress,INDIA,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,1468549,3336,1471885,2453608.0,59.99,1012476,Result Declared,59.0,male
4,6,31,Assam,North Eastern Region,3,Barpeta,3,2024-05-07,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,NDA,DEEP BAYAN,Indian National Congress,853642,6471,860113,1685943.0,51.02,222351,Result Declared,72.0,male
4,6,32,Assam,North Eastern Region,4,Darrang-Udalguri,2,2024-04-26,DILIP SAIKIA,Bharatiya Janata Party,NDA,MADHAB RAJBANGSHI,Indian National Congress,864583,3804,868387,1811200.0,47.95,329012,Result Declared,50.0,male
4,6,33,Assam,North Eastern Region,5,Guwahati,3,2024-05-07,BIJULI KALITA MEDHI,Bharatiya Janata Party,NDA,MIRA BORTHAKUR GOSWAMI,Indian National Congress,891901,2986,894887,1599389.0,55.95,251090,Result Declared,45.0,female
4,6,34,Assam,North Eastern Region,6,Diphu,2,2024-04-26,AMARSING TISSO,Bharatiya Janata Party,NDA,J. I. KATHAR,Independent,332440,2180,334620,682827.0,49.01,147603,Result Declared,56.0,male
4,6,35,Assam,North Eastern Region,7,Karimganj,2,2024-04-26,KRIPANATH MALLAH,Bharatiya Janata Party,NDA,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,541220,3873,545093,1146882.0,47.53,18360,Result Declared,50.0,male
4,6,36,Assam,North Eastern Region,8,Silchar,2,2024-04-26,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,NDA,SURYA KANTA SARKAR,Indian National Congress,647572,4833,652405,1089426.0,59.89,264311,Result Declared,66.0,male
4,6,37,Assam,North Eastern Region,9,Nagaon,2,2024-04-26,PRADYUT BORDOLOI,Indian National Congress,INDIA,SURESH BORAH,Bharatiya Janata Party,786620,2230,788850,1549998.0,50.89,212231,Result Declared,64.0,male
4,6,38,Assam,North Eastern Region,10,Kaziranga,1,2024-04-19,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,NDA,ROSELINA TIRKEY,Indian National Congress,892766,4277,897043,1629937.0,55.04,248947,Result Declared,48.0,male
